baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SYMBOL
11.2219525005775	0.0463584877248603	0.139626307890177	0.332018288138962	0.739875449650963	0.835582315103878	WASH7P
5.41900527141042	0.323776334826899	0.433878329004346	0.746237627424014	0.455523881889664	0.60919938155787	AL627309.1
1.80445735336938	0.242310275801613	0.386601696028166	0.626769820957948	0.53081012857674	0.673279226531392	RP11.34P13.13
2.27482515857874	0.580156606464058	0.371720372163813	1.56073395463079	0.118586536273647	0.234822041120254	AP006222.2
586.319210810424	0.341528709652538	0.219627966688916	1.55503288038123	0.119938238667537	0.23678428942228	MTND2P28
81.3452301819098	0.564730234311894	0.269162159121438	2.09810411744061	0.0358959489275296	0.0970426227405324	hsa.mir.6723
3.61362743704277	0.300284808140656	0.220066000007633	1.36452158956968	0.172403464042597	0.306064916873761	RP5.857K21.7
1.15622449188654	0.36567276833389	0.294702715658365	1.24081913367163	0.214672571293614	0.358844677962885	MTATP8P1
3379.42083521585	0.453430567274935	0.146994176942082	3.08468387461087	0.00203768610377674	0.0107179722997163	MTATP6P1
11.8259929721262	0.686148611816253	0.334776572610122	2.04957176802015	0.0404062377635317	0.105811604106324	RP5.857K21.11
1.38913663002133	-0.4402631958823	0.261610187192486	-1.68289775183092	0.0923948868926651	0.195423320441178	RP11.206L10.1
6.55855154815625	0.214970873931377	0.172349319974002	1.24729748840207	0.212288438039176	0.355743313055892	RP11.206L10.2
4.14557833081957	0.177761201381072	0.244793867658234	0.726166889234542	0.467736467410662	0.619759250041322	RP11.206L10.9
1.41220694620895	0.526199809094918	0.29862871629436	1.76205361501886	0.0780602392972639	0.172447539103872	RP11.206L10.8
1.70868310307219	0.238956862031771	0.289353305204624	0.825830767209611	0.408900098294485	0.567281080349991	FAM87B
16.2300010993459	0.317645984356692	0.164666988397046	1.92902042752359	0.0537283263201444	0.130576458755834	LINC00115
54.2249150571418	-0.328856386467138	0.152903374554017	-2.15074642679623	0.0314962197168143	0.0879925526680712	RP11.206L10.11
6.1357491610481	1.35507259057316	0.461310191097519	2.93744343117428	0.00330930540373275	0.0155186454506133	RP11.54O7.1
11.5139113746651	1.33819385285398	0.446546423741275	2.99676311735354	0.00272862651409857	0.0133932774599705	RP11.54O7.3
2.07641840013655	0.314404186234102	0.428529838048977	0.73368096762067	0.463143200773151	0.615547276088912	SAMD11
826.53097368423	-0.290583677165082	0.101556586573073	-2.86129818823714	0.00421910020076025	0.0187020317148027	NOC2L
10.251906564587	-0.473636820168897	0.297998402421102	-1.58939382332527	0.11197150822102	0.225192862561381	KLHL17
5.20079323598371	-0.92391021214759	0.469553349181488	-1.96763629470032	0.049109900545996	0.12231220385341	PLEKHN1
2.02566564814436	0.618551846396865	0.420535198589952	1.47086819003703	0.141326766770975	0.266137728131489	RP11.54O7.11
399.044825288174	0.809933645246836	0.217630024331414	3.72160802598378	0.000197958145676696	0.00172094361459145	ISG15
9.08692717105252	0.293284331639182	0.357503607751813	0.820367474005428	0.412006651830684	0.570411349893987	AGRN
19.4914107020738	0.511058038515193	0.348507947805587	1.46641716991856	0.142534671526513	0.267952352016598	RP11.465B22.3
126.380534033946	-0.30239614682629	0.148846457923655	-2.03159786967449	0.0421943825466232	0.109091590852442	C1orf159
2.88583640429583	-0.418127395108076	0.444160616703002	-0.941387820946012	0.346506152571997	0.504847661971902	TTLL10.AS1
12.1838179427737	-0.217156924554341	0.363494435726191	-0.597414714534773	0.550230532019014	0.68940119426271	TTLL10
42.6085893117192	0.699906017487487	0.35696809130173	1.96069630463381	0.0499144604127187	0.123795945136969	TNFRSF18
63.1069393405998	0.475718062003687	0.372237681020757	1.27799544822857	0.201251031207335	0.342684281620346	TNFRSF4
351.903366350951	-0.292860477626147	0.213145667986405	-1.37399216410454	0.16944411509576	0.302422448016885	SDF4
21.8162071934113	-0.0465234629144231	0.253336146429023	-0.183643209112512	0.854293363575452	0.911107570194427	B3GALT6
1.79208548711221	0.9078579384414	0.391088555664727	2.32136155684313	0.0202673385189103	0.0631524495253534	FAM132A
286.678611398374	-0.546105525194047	0.099715152265481	-5.47665538071986	4.33440181494178e-08	1.57737894168317e-06	UBE2J2
