cell	orig.ident	nCount_RNA	nFeature_RNA	title	geo_accession	population	lsc_activity	CD34	predicted.celltype.score	predicted.celltype	sample	patient
GSM5973402	GSE199336	39531070	36546	LSC0021_Bl_CD34mCD38p	GSM5973402	CD34-CD38+		Negative	0.514849784097169	GMP	Zeng et al.	LSC0021
GSM5973403	GSE199336	55253777	43068	LSC0022_Bl_CD34pCD38p	GSM5973403	CD34+CD38+		Positive	0.420507468737865	HSC	Zeng et al.	LSC0022
GSM5973404	GSE199336	38166179	40242	LSC0023_Bl_CD34mCD38m	GSM5973404	CD34-CD38-		Negative	0.399069903949947	CD16 Mono	Zeng et al.	LSC0023
GSM5973405	GSE199336	73724840	38029	LSC0023_Bl_CD34mCD38p	GSM5973405	CD34-CD38+		Negative	0.416314713395104	CD14 Mono	Zeng et al.	LSC0023
GSM5973406	GSE199336	50546415	41011	LSC0023_Bl_CD34pCD38p	GSM5973406	CD34+CD38+		Positive	0.60229197666444	HSC	Zeng et al.	LSC0023
GSM5973407	GSE199336	47128324	40336	LSC0024_Bl_CD34mCD38m	GSM5973407	CD34-CD38-		Negative	0.333123852158445	HSC	Zeng et al.	LSC0024
GSM5973408	GSE199336	60815214	41999	LSC0025_Bl_CD34pCD38p	GSM5973408	CD34+CD38+		Positive	0.374704888407417	MEP	Zeng et al.	LSC0025
GSM5973409	GSE199336	55859864	35172	LSC0027_Bl_CD34mCD38m	GSM5973409	CD34-CD38-		Negative	0.734450640697238	MEP	Zeng et al.	LSC0027
GSM5973410	GSE199336	52321848	40396	LSC0027_Bl_CD34pCD38m	GSM5973410	CD34+CD38-		Positive	0.519425060600535	HSC	Zeng et al.	LSC0027
GSM5973411	GSE199336	51023646	40209	LSC0031_Bl_CD34mCD38p	GSM5973411	CD34-CD38+		Negative	0.621470288270286	GMP	Zeng et al.	LSC0031
GSM5973412	GSE199336	68451362	27540	LSC0032_Bl_CD34pCD38m	GSM5973412	CD34+CD38-		Positive	0.624929544529656	HSC	Zeng et al.	LSC0032
GSM5973413	GSE199336	66601252	24157	LSC0036_Bl_CD34mCD38p	GSM5973413	CD34-CD38+		Negative	0.781112817020594	GMP	Zeng et al.	LSC0036
GSM5973414	GSE199336	74946085	23409	LSC0037_Bl_CD34mCD38p	GSM5973414	CD34-CD38+		Negative	0.783426839109261	GMP	Zeng et al.	LSC0037
GSM5973415	GSE199336	86173777	27010	LSC0038_Bl_CD34mCD38m	GSM5973415	CD34-CD38-		Negative	0.494353086725338	MEP	Zeng et al.	LSC0038
GSM5973416	GSE199336	78802006	26543	LSC0038_Bl_CD34mCD38p	GSM5973416	CD34-CD38+		Negative	0.423044198372342	MEP	Zeng et al.	LSC0038
GSM5973417	GSE199336	70829552	24809	LSC0038_Bl_CD34pCD38p	GSM5973417	CD34+CD38+		Positive	0.391737962076792	HSC	Zeng et al.	LSC0038
GSM5973418	GSE199336	80335813	25619	LSC0039_Bl_CD34mCD38p	GSM5973418	CD34-CD38+		Negative	0.530431660748136	MEP	Zeng et al.	LSC0039
GSM5973419	GSE199336	78855909	26684	LSC0039_Bl_CD34pCD38m	GSM5973419	CD34+CD38-		Positive	0.69125490924776	HSC	Zeng et al.	LSC0039
GSM5973420	GSE199336	72456630	23643	LSC0040_Bl_CD34mCD38p	GSM5973420	CD34-CD38+		Negative	0.409981685625905	CD14 Mono	Zeng et al.	LSC0040
GSM5973421	GSE199336	65194858	25762	LSC0041_Bl_CD34mCD38m	GSM5973421	CD34-CD38-		Negative	0.573718552430593	MEP	Zeng et al.	LSC0041
GSM5973422	GSE199336	83544764	25123	LSC0041_Bl_CD34pCD38m	GSM5973422	CD34+CD38-		Positive	0.533126471365751	HSC	Zeng et al.	LSC0041
