ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,Group,Comparison
 Glycolysis,HALLMARK_GLYCOLYSIS,158,-0.312658813255755,-1.45885559960356,0.001679682253004,0.00763491933183638,0.00482205431484403,3744,"tags=37%, list=20%, signal=30%",GMPPA/GALK2/COG2/MDH1/PGAM1/GLCE/ME2/CENPA/PPP2CB/ALG1/SDHC/ISG20/STMN1/AK3/B4GALT2/LDHA/EXT1/TPST1/MPI/HDLBP/ENO2/RPE/PAXIP1/CTH/PGM2/KIF2A/SLC25A13/PKM/PLOD2/GYS1/IDH1/G6PD/CLN6/HMMR/COPB2/PAM/EFNA3/AURKA/KIF20A/COL5A1/CDK1/FKBP4/GALE/EGLN3/SLC37A4/PC/HS2ST1/CHPF/CHST2/LCT/GNPDA1/PPFIA4/DEPDC1/FUT8/ABCB6/TKTL1/ME1/CLDN9/VEGFA,Post_VV,responder_vs_refractory
 Protein Secretion,HALLMARK_PROTEIN_SECRETION,91,-0.347606854904964,-1.52253049114903,0.00216940542056935,0.00903918925237231,0.00570896163307725,5269,"tags=49%, list=29%, signal=35%",SCAMP1/COPB1/VAMP7/CLN5/STX7/ANP32E/USO1/CLTA/ARCN1/VAMP4/ATP1A1/SNX2/SOD1/AP2B1/RPS6KA3/RER1/GOSR2/COG2/CTSC/MAPK1/SEC24D/TMED10/VAMP3/SCAMP3/VPS45/M6PR/ATP7A/ZW10/TMED2/ARFIP1/DNM1L/SNAP23/SCRN1/PPT1/CAV2/COPB2/PAM/ICA1/BET1/TPD52/TMX1/SGMS1/GALC/ADAM10/CLCN3,Post_VV,responder_vs_refractory
 Heme Metabolism,HALLMARK_HEME_METABOLISM,176,-0.298173154847734,-1.44975619164011,0.00268610942924845,0.010331190112494,0.00652496217631203,1838,"tags=19%, list=10%, signal=17%",GCLM/SNCA/UROS/ANK1/OPTN/CCND3/UROD/BCAM/RHAG/ASNS/XK/ATP6V0A1/RHD/TSPAN5/TMCC2/ALAD/AGPAT4/PC/CLCN3/EPOR/EPB42/MBOAT2/GATA1/ABCB6/DAAM1/FN3K/MINPP1/ARHGEF12/ENDOD1/SLC6A9/DMTN/RHCE/TAL1,Post_VV,responder_vs_refractory
 Angiogenesis,HALLMARK_ANGIOGENESIS,23,-0.569472865538441,-1.86006947733541,0.00370101882077302,0.0132179243599036,0.00834816275362335,390,"tags=30%, list=2%, signal=30%",PTK2/CXCL6/APP/PRG2/PF4/VEGFA/THBD,Post_VV,responder_vs_refractory
 Uv Response Dn,HALLMARK_UV_RESPONSE_DN,115,-0.328989475559181,-1.48467175716417,0.00537603721116835,0.0179201240372278,0.0113179730761439,2735,"tags=27%, list=15%, signal=23%",ANXA4/SIPA1L1/LTBP1/RBPMS/SRI/TGFBR3/FBLN5/SYNJ2/MAP1B/LAMC1/CAV1/PDLIM5/MGLL/ICA1/SLC7A1/MT1E/ACVR2A/IGF1R/CDC42BPA/DAB2/DLC1/DDAH1/INPP4B/PTPRM/FHL2/PMP22/ITGB3/BDNF/PRKAR2B/KALRN/PLCB4,Post_VV,responder_vs_refractory
 Adipogenesis,HALLMARK_ADIPOGENESIS,165,-0.282789629152569,-1.35151567428099,0.00724138970838145,0.022629342838692,0.0142922165297002,4348,"tags=35%, list=24%, signal=27%",ESRRA/GBE1/RTN3/SCARB1/JAGN1/SOD1/ECHS1/ANGPTL4/IMMT/MTCH2/HIBCH/ITGA7/UCP2/MRPL15/LIPE/AK2/GPD2/DECR1/SDHC/ADIPOR2/COQ5/CPT2/PFKL/AIFM1/ACLY/DGAT1/CRAT/EPHX2/RMDN3/STAT5A/COQ9/CD36/ATP1B3/ALDH2/APLP2/PGM1/SLC5A6/IDH1/COQ3/ESYT1/PHLDB1/ACADM/SLC19A1/LPCAT3/ADCY6/MGLL/DBT/PRDX3/DLAT/DHCR7/APOE/SLC1A5/CDKN2C/STOM/ELOVL6/ME1/MYLK,Post_VV,responder_vs_refractory
 Myogenesis,HALLMARK_MYOGENESIS,124,-0.301056940866136,-1.3700854141303,0.0109870879502922,0.0323149645596828,0.0204094513008523,2389,"tags=30%, list=13%, signal=26%",CRAT/ATP2A1/AK1/NOTCH1/CD36/COX7A1/TNNI2/ENO3/MAPK12/BIN1/MYOM2/MYO1C/PFKM/SORBS3/FHL1/MEF2C/PTP4A3/PDLIM7/PC/NQO1/PSEN2/CNN3/SCD/PPFIA4/TEAD4/DAPK2/FKBP1B/GSN/ITGB4/APP/SMTN/VIPR1/COL6A3/KIFC3/TNNT1/CKB/MYLK,Post_VV,responder_vs_refractory
 Hedgehog Signaling,HALLMARK_HEDGEHOG_SIGNALING,21,-0.522638761919698,-1.65552417473966,0.0168902380188187,0.046917327830052,0.0296319965242433,813,"tags=24%, list=4%, signal=23%",NRP2/OPHN1/DPYSL2/VEGFA/PTCH1,Post_VV,responder_vs_refractory
 Inflammatory Response,HALLMARK_INFLAMMATORY_RESPONSE,145,0.378979423171548,1.35459622545402,0.030398322851153,0.0799955864504027,0.0505235282844649,3658,"tags=35%, list=20%, signal=28%",LPAR1/AXL/FPR1/INHBA/SLAMF1/CXCL10/GPR132/GPR183/SERPINE1/C3AR1/TNFAIP6/CD14/PTPRE/NFKBIA/SLC1A2/SLC31A2/TLR2/C5AR1/IRF1/RGS1/NLRP3/ITGB8/ICAM1/PTGER4/KLF6/EMP3/PLAUR/GCH1/TNFRSF9/ACVR1B/MXD1/SGMS2/CD48/P2RX7/EREG/CDKN1A/HBEGF/GNA15/BEST1/TPBG/SCN1B/BTG2/ABCA1/CCL5/IRF7/IL7R/P2RX4/ATP2B1/IL2RB/AHR/NAMPT,Pre_VV,responder_vs_refractory
 Il6 Jak Stat3 Signaling,HALLMARK_IL6_JAK_STAT3_SIGNALING,74,-0.313529103794358,-1.30123409025323,0.0401956200121864,0.100489050030466,0.0634667684402943,1999,"tags=24%, list=11%, signal=22%",CD36/CCR1/LEPR/SOCS3/CD9/IL7/HMOX1/CSF1/IL17RB/PIM1/IL6ST/A2M/IL2RA/IL18R1/CSF2RB/OSMR/PF4/ITGB3,Post_VV,responder_vs_refractory
 Complement,HALLMARK_COMPLEMENT,153,-0.259242567452137,-1.22523898176096,0.059796415796928,0.142372418564114,0.0899194222510195,1138,"tags=13%, list=6%, signal=12%",F8/LIPA/ANXA5/C1S/DPP4/SRC/PIM1/C1R/PLEK/CTSL/DGKH/CD40LG/ME1/LGMN/KCNIP2/CPM/CR1/GP9/PLAT/GP1BA,Post_VV,responder_vs_refractory
 Cholesterol Homeostasis,HALLMARK_CHOLESTEROL_HOMEOSTASIS,66,-0.315923013182269,-1.26716341933594,0.073200950160913,0.166365795820257,0.105073134202267,1778,"tags=23%, list=10%, signal=21%",PCYT2/ACAT2/FBXO6/CD9/TRIB3/ANXA5/LSS/TMEM97/SQLE/DHCR7/FADS2/SCD/GNAI1/LGMN/CBS,Post_VV,responder_vs_refractory
 Androgen Response,HALLMARK_ANDROGEN_RESPONSE,84,-0.285752922362591,-1.23413011838863,0.0917160291042038,0.19938267196566,0.125925898083575,4067,"tags=37%, list=22%, signal=29%",GNAI3/TMEM50A/MYL12A/RPS6KA3/ARID5B/SLC26A2/XRCC5/SEC24D/ELOVL5/SRF/HSD17B14/CAMKK2/SMS/FKBP5/MAF/FADS1/STK39/CCND3/PDLIM5/ANKH/MAP7/TPD52/GPD1L/CCND1/PMEPA1/ACTN1/HPGD/SCD/DHCR24/ABCC4/INPP4B,Post_VV,responder_vs_refractory
