# Mapping between sequencing sample IDs (Sample) and manuscript sample IDs (D.ID_1), as referenced in Supplementary Table 6 of the manuscript
# Each Sample represents a population-level sequencing sample; D.ID_1 represents a patient at a specific timepoint
# Columns: D.ID_1, Population, Sample
"D.ID_1"	"Population"	"Sample"
"9"	"LSC"	"HIAML33_lsc1"
"9"	"MATURE"	"HIAML33_mature1"
"10"	"LSC"	"BAML4_lsc1"
"10"	"MATURE"	"BAML4_mature1"
"11"	"LSC"	"BAML3_lsc1"
"11"	"MATURE"	"BAML3_mature1"
"12"	"LSC"	"HIAML40_lsc1"
"12"	"MATURE"	"HIAML40_mature1"
"13"	"LSC"	"HIAML41_lsc1"
"13"	"MATURE"	"HIAML41_mature1"
"14"	"LSC"	"P13_lsc-d1"
"15"	"LSC"	"HIAML49_lsc1"
"15"	"MATURE"	"HIAML49_mature1"
"16"	"LSC"	"HIAML50_lsc1"
"16"	"MATURE"	"HIAML50_mature1"
"17"	"LSC"	"HIAML58_lsc1"
"17"	"MATURE"	"HIAML58_mature1"
"18"	"LSC"	"BAML8_lsc1"
"18"	"MATURE"	"BAML8_mature1"
"19"	"LSC"	"HIAML55_lsc1"
"19"	"MATURE"	"HIAML55_mature1"
"20"	"LSC"	"AML4_lsc-d1"
"20"	"MATURE"	"AML4_mature-d1"
"21"	"BULK"	"HIAML45_bulk-d1"
"21"	"LSC"	"AML5_lsc-d1"
"21"	"MATURE"	"HIAML45_mature-d1"
"21"	"NONLSC"	"HIAML45_nonlsc-d1"
"22"	"LSC"	"HIAML15_lsc-d1"
"22"	"MATURE"	"D22_mature-d1"
"23"	"LSC"	"HIAML17_lsc-d1"
"24"	"LSC"	"P9_lsc-d1"
"24"	"MATURE"	"HIAML36_mature-d1"
"25"	"LSC"	"HIAML37_lsc-d1"
"26"	"LSC"	"HIAML47_lsc-d1"
"26"	"MATURE"	"HIAML47_mature-d1"
"27"	"LSC"	"HIAML52_lsc-d1"
"28"	"LSC"	"HIAML54_lsc-d1"
"29"	"LSC"	"HIAML61_lsc-d1"
"29"	"MATURE"	"HIAML61_mature-d1"
"30"	"LSC"	"HIAML62_lsc-d1"
"30"	"MATURE"	"HIAML62_mature-d1"
"31"	"LSC"	"HIAML65_lsc-d1"
"33"	"LSC"	"HIAML76_lsc-d1"
"33"	"MATURE"	"HIAML76_mature-d1"
"34"	"LSC"	"HIAML79_lsc-d1"
"36"	"LSC"	"HIAML83_lsc-d1"
"37"	"LSC"	"HIAML84_lsc-d1"
"37"	"MATURE"	"HIAML84_mature-d1"
"38"	"LSC"	"HIAML85_lsc-d1"
"38"	"MATURE"	"HIAML85_mature-d1"
"39"	"LSC"	"HIAML87_lsc-d1"
"40"	"LSC"	"D40_lsc-d1"
"40"	"MATURE"	"D40_mature-d1"
"41"	"LSC"	"D41_lsc-d1"
"41"	"MATURE"	"D41_mature-d1"
"42"	"LSC"	"D42_lsc-d1"
"42"	"MATURE"	"D42_mature-d1"
"43"	"LSC"	"D43_lsc-d1"
"43"	"MATURE"	"D43_mature-d1"
"44"	"LSC"	"HIAML88_lsc-d1"
"45"	"LSC"	"HIAML89_lsc-d1"
"46"	"LSC"	"HIAML92_lsc-d1"
"48"	"LSC"	"HIAML95_lsc-d1"
"48"	"MATURE"	"HIAML95_mature-d1"
"49"	"LSC"	"HIAML13_lsc-d1"
"49"	"MATURE"	"HIAML13_mature-d1"
"50"	"BULK"	"Hanover3_bulk-d1"
"50"	"LSC"	"Hanover3_lsc-d1"
"50"	"MATURE"	"Hanover3_mature-d1"
"50"	"NONLSC"	"Hanover3_nonlsc-d1"
"51"	"LSC"	"D51_lsc-d1"
"52"	"LSC"	"D52_lsc-d1"
"52"	"MATURE"	"D52_mature-d1"
"53"	"LSC"	"D53_lsc-d1"
"55"	"LSC"	"D55_lsc-d1"
"56"	"LSC"	"D56_lsc-d1"
"57"	"LSC"	"D57_lsc-d1"
"57"	"MATURE"	"D57_mature-d1"
"58"	"LSC"	"D58_lsc-d1"
"59"	"LSC"	"D59_lsc-d1"
"60"	"LSC"	"D60_lsc-d1"
"61"	"LSC"	"D61_lsc-d1"
"62"	"LSC"	"D62_lsc-d1"
"62"	"MATURE"	"D62_mature-d1"
"63"	"LSC"	"D63_lsc-d1"
"64"	"LSC"	"D64_lsc-d1"
"65"	"LSC"	"D65_lsc-d1"
"65"	"MATURE"	"D65_mature-d1"
"66"	"LSC"	"D66_lsc-d1"
"67"	"LSC"	"D67_lsc-d1"
"68"	"LSC"	"D68_lsc-d1"
