refUMAP_1,refUMAP_2,Cell,orig.ident,nCount_RNA,nFeature_RNA,CCLE_ID,depMapID,Name,Pathology,Site_Primary,Site_Subtype1,Site_Subtype2,Site_Subtype3,Histology,Hist_Subtype1,Hist_Subtype2,Hist_Subtype3,Gender,Life_Stage,Age,Race,Geo_Loc,inferred_ethnicity,Site_Of_Finding,Disease,Annotation_Source,Original.Source.of.Cell.Line,Characteristics,Growth.Medium,Supplements,Freezing.Medium,Doubling.Time.from.Vendor,Doubling.Time.Calculated.hrs,type,type_refined,PATHOLOGIST_ANNOTATION,mutRate,tcga_code,batch,predicted.celltype
-5.58596754074097,5.2190842628479,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,135151487,24843,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000636,RPMI-8402,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,NS,NS,female,,16,,,Caucasian,,TALL,CCLE,DSMZ,SUSPENSION,RPMI-1640+ 10% FBS,,5% DMSO,,51.7,T-cell_ALL,T-cell_ALL,Leukemia:ALL,146.5725381,ALL,CCLE,Prog_B 2
-5.50384283065796,5.5268087387085,RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,114278892,23009,RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000874,RS4;11,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,NS,NS,female,,32,caucasian,,Caucasian,,,CCLE,ATCC,Suspension,RPMI-1640+10% FBS,,5%DMSO,,181.7,B-cell_ALL,B-cell_ALL,Leukemia:ALL,266.6254865,ALL,CCLE,Prog_B 2
-5.73779821395874,5.72715044021606,SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,109516133,23955,SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000782,SEM,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,NS,NS,female,,5,,,Caucasian,,,CCLE,DSMZ,"SUSPENSION (round polygonal single, rather small cells)",IMDM+10%FBS,,10% DMSO,,121.5,B-cell_ALL,B-cell_ALL,Leukemia:ALL,192.3275958,ALL,CCLE,Prog_B 2
-2.28702855110168,0.0708637908101082,SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,110308940,24186,SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000195,Set-2,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,essential_thrombocythaemia,NS,NS,female,,71,,,Asian,,,CCLE,,suspension,RPMI-1640 + 20% FBS,,5%DMSO,,59.7,leukemia_other,leukemia_other,Leukemia:MPD,122.3425095,,CCLE,Prog_RBC
-6.38263893127441,-0.245756328105927,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,125564606,23921,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000112,SIG-M5,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M5a,NS,male,,63,,,Caucasian,,,CCLE,DSMZ,large round cells growing singly  in suspention,80% Iscove's MDM + 20% h.i. FBS,,,~  72 hrs,,AML,AML,Leukemia:AML,93.0784535,LAML,CCLE,GMP
-5.09851932525635,1.02969646453857,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,154801221,24915,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000373,SKM-1,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M5,NS,male,,76,asian,japan,Asian,,,CCLE,HSRRB,suspension,RPMI 1640+20%FBS,,5% DMSO,,40,AML,AML,Leukemia:AML,164.6000219,LAML,CCLE,GMP
-5.82102775573731,5.73864078521729,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,125723463,24424,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000363,SK-MM-2,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,male,,54,,,Caucasian,,,CCLE,DSMZ,round single cells growing in suspention,80% RPMI 1640 +20% h.i. FBS,,,~  100 hrs,,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,97.98150618,MM,CCLE,Prog_B 2
-3.26913928985596,0.742586970329285,SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,124932774,23287,SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-001656,SKNO-1,,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,NS,NS,,,,,,Asian,,,COSMIC,,,,,,,,AML,AML,,,LAML,CCLE,Prog_RBC
-6.41197681427002,-1.04153454303741,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,157752779,25991,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000338,SR-786,metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,anaplastic_large_cell_lymphoma,NS,NS,male,,11,,,Caucasian,pleura,anaplastic_large_cell_lymphoma,CCLE,DSMZ,"ovoid- to round, sometimes irregular, occasinally with apical processes, growing in suspention, singly or in small clumps",85% RPMI 1640 +15% h.i. FBS,,,~  30 hrs,,lymphoma_other,T-cell_lymphoma_other,Lymphoma:NH_T_cell,103.6805732,,CCLE,CD4 Memory
-5.56171417236328,5.61547517776489,ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,128578080,27582,ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000567,ST486,metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,Burkitt_lymphoma,NS,NS,female,,,,,Caucasian,ascites,,CCLE,NIBRI,,,,,,,lymphoma_Burkitt,lymphoma_Burkitt,Lymphoma:NH_B_cell,91.43886081,DLBC,CCLE,Prog_B 2
