patient	LMPP	MEP	HSC	ProgDC	Mono	GMP	cDC2	pDC
13-00406	0.203996298743587	0.0699903840630517	0	0.0247283723306374	0.19161315222994	0.00994620774903921	0.499725584883745	0
13-00420	0.0790808446329533	0.282154669124736	0.0347436802748	0.0933003134430193	0.153137112567142	0.138528855934039	0.190725295573061	0.0283292284502493
13-00425	0.225599874664815	0.0387156062029109	0.0152473651797425	0.22058449597626	0.00729008909401783	0	0.476135646017295	0.0164269228649592
13-00450	0.495734277118447	0.219487770703614	0.206776212711236	0.02285639202007	0.0247695172093966	0.00754739511494832	0	0.022828435122288
13-00454	0.065286464862331	0.0587107113835492	0.456905874071269	0.0455045168381554	0.234157990810408	0.0504623367598187	0	0.0889721052744691
13-00468	0.0769521500295227	0.115241457843155	0.129868112593597	0.0391986227943553	0.366664526884218	0.272075129855152	0	0
13-00487	0.23546347661378	0.0676840432033573	0.126829427838455	0.0273760085411835	0.184450669293382	0.131580623344527	0.215905132213185	0.0107106189521293
13-00500	0.167677699096733	0.0381740251261808	0.504209170677666	0.123709862514743	0.0986891555043541	0.0179851608177675	0	0.0495549262625559
13-00513	0.148567375018814	0.0581958261350798	0	0.219127048261035	0	0.320449931229733	0.250469572550057	0.00319024680528145
13-00515	0.178416610566686	0.101853990532617	0.311480038032309	0.015103745115319	0.228253012721695	0.0651982426906796	0.0508325104419872	0.0488618498987072
13-00544	0.241376703842538	0.266534085969773	0.235567079038322	0	0.0662545921124227	0.186928475401536	0	0.00333906363540733
13-00545	0.340458564474159	0.0851565389904877	0.463181464364957	0.0235986420479245	0.0528904869958498	0.0172299274633815	0	0.0174843756632407
13-00546	0.379362236103828	0.0604624975875539	0.48133410054194	0.00715271455696495	0.0194006813723929	0.00259299534079698	0.0285781679049554	0.0211166065915682
13-00551	0.0656714780563404	0.069486019157421	0.271085421953246	0.0543399715202904	0.516154232468969	0.0193744010791184	0	0.00388847576461447
13-00552	0.0810765230188044	0.0571709224796206	0.496022964367164	0.0448835549814897	0.303455629538303	0.00581842395522822	0	0.0115719816593906
13-00557	0.172113957633484	0.0974007436774403	0.201564303247312	0.0132238557748364	0.167635199487237	0.340985169346886	0	0.00707677083280509
13-00558	0.15153725585885	0.144279819248192	0.188455517690146	0.00585869997330449	0.17867982584829	0.329164073766885	0	0.00202480761433259
13-00573	0.121223183980449	0.0412186582474402	0.0515002342999443	0	0.466037159102432	0	0.305893826329317	0.0141269380404175
